channel,metric,p_kw
Menton,rswa_fraction,0.16503215345210787
Menton,phasic_ratio,0.31327472503319886
Menton,tonic_ratio,0.06785268187285248
Menton,tonic_eog_fraction,0.43425927389651175
JAMBD,rswa_fraction,0.7225466526397315
JAMBD,tonic_eog_fraction,0.3980915138914203
JAMBD,phasic_ratio,0.04683774852721425
JAMBD,tonic_ratio,0.10264554469230745
JAMBG,rswa_fraction,0.561221157516493
JAMBG,tonic_eog_fraction,0.1153702951916926
JAMBG,tonic_ratio,0.022163838174334784
JAMBG,phasic_ratio,0.0036925206130664686
EMG1,rswa_fraction,0.2337372819010537
EMG1,phasic_ratio,0.09968700360447125
EMG1,tonic_eog_fraction,0.09962554218660295
EMG1,tonic_ratio,0.06224720349677744
EMG2,rswa_fraction,0.3528855433584453
EMG2,phasic_ratio,0.6202335083261513
EMG2,tonic_eog_fraction,0.10509318286283169
EMG2,tonic_ratio,0.05675287010641274
